著者名,作品名,入力文字数,収集率,不一致の行数
太宰治,雌に就いて,4988,0.982,4
太宰治,青森,661,1,0
太宰治,風の便り,32916,0.966,16
太宰治,食通,510,1,0
太宰治,饗応夫人,6877,1,0
太宰治,駈込み訴え,13489,0.955,6
太宰治,鬱屈禍,1935,1,0
太宰治,魚服記,5103,1,0
太宰治,鴎,11425,0.95,9
太宰治,黄村先生言行録,13770,1,0
太宰治,黄金風景,2940,1,0
室生犀星,あじゃり,10972,0.993,3
室生犀星,しゃりこうべ,3938,0.99,1
室生犀星,みずうみ,17603,0.968,9
室生犀星,ゆめの話,3054,1,0
室生犀星,われはうたえどもやぶれかぶれ,45494,0.996,3
室生犀星,三階の家,11149,0.992,3
室生犀星,不思議な国の話,6483,0.98,2
室生犀星,不思議な魚,4742,1,0
室生犀星,天狗,3493,1,0
室生犀星,幻影の都市,27032,0.996,3
室生犀星,幼年時代,30793,0.982,16
室生犀星,後の日の童子,15502,0.988,6
室生犀星,性に眼覚める頃,39545,0.989,10
室生犀星,或る少女の死まで,42238,0.992,10
室生犀星,童子,31924,0.996,3
室生犀星,童話,11573,0.994,2
室生犀星,蛾,8777,0.981,4
室生犀星,蜜のあわれ,76822,0.901,103
室生犀星,陶古の女人,11801,0.978,3
室生犀星,香爐を盗む,20002,0.986,5
宮城道雄,レコード夜話,1780,0.921,3
宮城道雄,五十年をかえりみて,1933,1,0
宮城道雄,垣隣り,1025,0.993,2
宮城道雄,声と人柄,1135,1,0
宮城道雄,声と性格,1967,0.996,2
宮城道雄,声と食物,1702,0.949,1
宮城道雄,山の声,3200,1,0
宮城道雄,心の調べ,727,0.915,3
宮城道雄,昔の盲人と外国の盲人,838,1,0
宮城道雄,春雨,1425,1,0
宮城道雄,私のすきな人,1398,0.961,2
宮城道雄,私の若い頃,2905,0.98,1
宮城道雄,純粋の声,1379,0.994,2
宮城道雄,耳の日記,2409,0.955,2
宮城道雄,雨夜の駅,1562,0.995,2
宮城道雄,音の世界に生きる,3556,1,0
宮本百合子,ものわかりよさ,5704,0.998,1
宮本百合子,キュリー夫人,8091,0.958,3
宮本百合子,ケーテコルヴィッツの画業,10561,0.984,2
宮本百合子,フロレンスナイチンゲールの生涯,10280,0.931,11
宮本百合子,マクシムゴーリキイによって描かれた婦人,9783,1,0
宮本百合子,乳房,27654,0.949,23
宮本百合子,伸子,230780,0.961,217
宮本百合子,列のこころ,5124,0.998,1
宮本百合子,幸福の感覚,7201,0.999,1
宮本百合子,播州平野,105717,0.992,21
宮本百合子,明日をつくる力,9362,0.965,5
宮本百合子,杉垣,14909,0.957,12
宮本百合子,異性の友情,4353,0.998,1
宮本百合子,知性の開眼,4215,0.998,1
宮本百合子,若い人たちの意志,4771,0.951,4
宮本百合子,貧しき人々の群,57340,0.937,71
宮本百合子,離婚について,7555,0.94,5
宮本百合子,風に乗って来るコロポックル,18068,0.917,29
宮本百合子,風知草,43762,0.981,17
宮沢賢治,ありときのこ,1437,0.941,1
宮沢賢治,いちょうの実,2633,0.969,4
宮沢賢治,おきなぐさ,3389,1,0
宮沢賢治,かしわばやしの夜,7649,0.975,5
宮沢賢治,さいかち淵,5421,0.964,8
宮沢賢治,さるのこしかけ,3996,0.987,3
宮沢賢治,ざしき童子のはなし,1816,0.944,3
宮沢賢治,とっこべとら子,3847,0.912,3
宮沢賢治,どんぐりと山猫,6273,0.983,2
宮沢賢治,なめとこ山の熊,7267,0.973,4
宮沢賢治,ひのきとひなげし,4234,0.967,6
宮沢賢治,めくらぶどうと虹,2468,1,0
宮沢賢治,やまなし,2596,1,0
宮沢賢治,よだかの星,5162,0.995,1
宮沢賢治,イギリス海岸,10490,0.949,9
宮沢賢治,インドラの網,3676,0.989,1
宮沢賢治,オツベルと象,5656,0.978,3
宮沢賢治,カイロ団長,9341,0.976,10
宮沢賢治,ガドルフの百合,4654,0.9,9
宮沢賢治,クねずみ,5552,0.919,15
宮沢賢治,グスコーブドリの伝記,25180,0.947,31
宮沢賢治,シグナルとシグナレス,11197,0.971,14
宮沢賢治,セロ弾きのゴーシュ,11638,0.963,11
宮沢賢治,タネリはたしかにいちにち噛んでいたようだった,4869,0.932,10
宮沢賢治,チュウリップの幻術,5740,0.993,1
宮沢賢治,バキチの仕事,2241,0.944,3
宮沢賢治,フランドン農学校の豚,11496,0.977,6
宮沢賢治,ペンネンネンネンネンネネムの伝記,26585,0.966,23
宮沢賢治,マグノリアの木,2826,0.983,2
宮沢賢治,マリヴロンと少女,2217,0.962,1
宮沢賢治,二人の役人,4990,0.978,4
宮沢賢治,二十六夜,16755,0.95,28
宮沢賢治,十六日,4199,0.904,18
宮沢賢治,双子の星,10903,0.968,11
宮沢賢治,台川,7711,0.981,11
宮沢賢治,四又の百合,2660,0.948,3
宮沢賢治,土神ときつね,9336,0.972,8
宮沢賢治,学者アラムハラドの見た着物,5724,0.998,1
宮沢賢治,或る農学生の日誌,10254,0.947,16
宮沢賢治,手紙一,1086,1,0
宮沢賢治,手紙四,1722,0.955,3
宮沢賢治,月夜のでんしんばしら,4257,0.988,3
宮沢賢治,楢ノ木大学士の野宿,17404,0.983,15
宮沢賢治,毒もみのすきな署長さん,3031,1,0
宮沢賢治,気のいい火山弾,4018,0.975,11
宮沢賢治,水仙月の四日,5648,0.964,5
宮沢賢治,泉ある家,3014,0.946,5
宮沢賢治,注文の多い料理店,5403,0.967,5
宮沢賢治,狼森と笊森盗森,5508,0.938,6
宮沢賢治,祭の晩,3823,0.984,3
宮沢賢治,紫紺染について,4665,0.968,3
宮沢賢治,耕耘部の時計,3385,0.994,1
宮沢賢治,若い木霊,3602,0.965,6
宮沢賢治,茨海小学校,12594,0.995,3
宮沢賢治,虔十公園林,4855,0.958,8
宮沢賢治,蛙のゴム靴,7282,0.946,9
宮沢賢治,蜘蛛となめくじと狸,7762,0.991,4
宮沢賢治,谷,4430,0.993,1
宮沢賢治,貝の火,14323,0.973,9
宮沢賢治,銀河鉄道の夜,38299,0.959,49
宮沢賢治,雁の童子,7996,0.993,2
宮沢賢治,雪渡り,6397,0.968,7
宮沢賢治,風野又三郎,31489,0.96,27
宮沢賢治,鳥をとるやなぎ,4309,0.993,2
宮沢賢治,鹿踊りのはじまり,5885,0.965,6
宮沢賢治,黄いろのトマト,7853,0.97,12
富田常雄,刺青,9773,0.974,5
富田常雄,面,7872,0.983,2
寺田寅彦,あひると猿,5105,0.923,6
寺田寅彦,からすうりの花と蛾,8741,0.959,7
寺田寅彦,さるかに合戦と桃太郎,2872,1,0
寺田寅彦,どんぐり,4581,0.926,6
寺田寅彦,まじょりか皿,4083,0.948,5
寺田寅彦,やもり物語,4327,0.954,4
寺田寅彦,コーヒー哲学序説,5108,1,0
寺田寅彦,ジャーナリズム雑感,10645,0.971,5
寺田寅彦,ニュース映画と新聞記事,3060,1,0
寺田寅彦,マーカスショーとレビュー式教育,8829,0.937,7
寺田寅彦,一つの思考実験,12307,0.959,6
寺田寅彦,三斜晶系,8396,0.926,11
寺田寅彦,二十四年前,3144,1,0
寺田寅彦,亮の追憶,10668,0.995,1
寺田寅彦,人魂の一つの場合,2916,1,0
寺田寅彦,伊吹山の句について,2313,0.947,4
寺田寅彦,俳句の精神,10959,0.913,15
寺田寅彦,備忘録,18306,0.967,9
寺田寅彦,凍雨と雨氷,1889,1,0
寺田寅彦,凩,1250,1,0
寺田寅彦,函館の大火について,9993,0.967,3
寺田寅彦,初冬の日記から,9897,0.94,5
寺田寅彦,化け物の進化,9991,0.966,4
寺田寅彦,北氷洋の氷の割れる音,3117,0.955,1
寺田寅彦,地図をながめて,6011,0.911,7
寺田寅彦,変った話,8416,0.938,10
寺田寅彦,夏,5993,0.969,4
寺田寅彦,夏目先生の俳句と漢詩,1088,1,0
寺田寅彦,夏目漱石先生の追憶,9117,0.941,9
寺田寅彦,夕凪と夕風,2198,0.95,2
寺田寅彦,夢判断,1584,1,0
寺田寅彦,天災と国防,7381,0.967,3
寺田寅彦,子猫,9215,0.963,5
寺田寅彦,子規自筆の根岸地図,2251,0.945,4
寺田寅彦,小さな出来事,14429,0.901,24
寺田寅彦,山中常盤双紙,1638,1,0
寺田寅彦,年賀状,3235,0.916,6
寺田寅彦,庭の追憶,3417,1,0
寺田寅彦,思い出草,1977,1,0
寺田寅彦,怪異考,6299,0.93,3
寺田寅彦,手首の問題,5878,0.959,4
寺田寅彦,新年雑俎,3018,0.954,1
寺田寅彦,日常身辺の物理的諸問題,5628,0.963,4
寺田寅彦,映画マルガに現われた動物の闘争,1740,0.976,1
寺田寅彦,映画時代,13361,0.982,5
寺田寅彦,時事雑感,9519,0.997,1
寺田寅彦,枯菊の影,6539,0.931,6
寺田寅彦,柿の種,68245,0.953,90
寺田寅彦,根岸庵を訪う記,4932,0.936,6
寺田寅彦,森の絵,1912,0.929,3
寺田寅彦,歳時記新註,4710,0.919,6
寺田寅彦,池,3805,0.988,1
寺田寅彦,沓掛より,8712,0.978,2
寺田寅彦,津浪と人間,4349,0.977,2
寺田寅彦,流言蜚語,2323,0.949,2
寺田寅彦,浅草紙,3629,0.97,3
寺田寅彦,浮世絵の曲線,3641,1,0
寺田寅彦,海水浴,4706,0.971,2
寺田寅彦,涼味数題,4600,0.981,1
寺田寅彦,火事教育,4396,0.965,3
寺田寅彦,災難雑考,10114,0.914,10
寺田寅彦,物理学圏外の物理的現象,6729,0.908,9
寺田寅彦,物質群として見た動物群,2606,1,0
寺田寅彦,猫の穴掘り,3870,0.929,4
寺田寅彦,球根,7116,0.919,12
寺田寅彦,病室の花,6409,0.96,6
寺田寅彦,相対性原理側面観,7265,0.962,4
寺田寅彦,神話と地球物理学,2659,0.935,3
寺田寅彦,祭,1561,0.957,2
寺田寅彦,秋の歌,884,1,0
寺田寅彦,科学と文学,25414,0.966,10
寺田寅彦,科学者とあたま,3813,1,0
寺田寅彦,空想日録,10430,0.96,5
寺田寅彦,窮理日記,463,0.948,1
寺田寅彦,竜舌蘭,4486,0.949,4
寺田寅彦,簔虫と蜘蛛,4024,0.984,2
寺田寅彦,自然界の縞模様,11515,0.942,7
寺田寅彦,自画像,17511,0.922,21
寺田寅彦,芝刈り,9668,0.981,4
寺田寅彦,花物語,10706,0.947,15
寺田寅彦,蒸発皿,8849,0.98,2
寺田寅彦,蓄音機,12154,0.971,5
寺田寅彦,藤の実,2789,0.972,1
寺田寅彦,藤棚の陰から,8095,0.957,5
寺田寅彦,蛙の鳴声,296,1,0
寺田寅彦,解かれた象,3431,1,0
寺田寅彦,記録狂時代,4434,0.988,1
寺田寅彦,試験管,9504,0.984,4
寺田寅彦,読書の今昔,11968,0.948,13
寺田寅彦,路傍の草,8259,0.973,4
寺田寅彦,鉛をかじる虫,2493,0.935,3
寺田寅彦,銀座アルプス,12719,0.953,10
寺田寅彦,錯覚数題,9084,0.969,5
寺田寅彦,鎖骨,2931,1,0
寺田寅彦,随筆難,4365,0.987,1
寺田寅彦,震災日記より,6453,0.943,5
寺田寅彦,高浜さんと私,1856,0.984,1
寺田寅彦,鷹を貰い損なった話,1277,1,0
小山清,落穂拾い,8558,0.963,9
小川未明,あほう鳥の鳴く日,7686,0.984,3
小川未明,あらしの前の木と鳥の会話,4305,1,0
小川未明,ある夜の星たちの話,4238,0.973,2
小川未明,ある日の先生と子供,3607,1,0
小川未明,ある男と無花果,556,1,0
小川未明,ある男と牛の話,2263,0.95,3
小川未明,いいおじいさんの話,3765,0.996,1
小川未明,おおかみをだましたおじいさん,2147,1,0
小川未明,お母さんのひきがえる,1289,0.99,1
小川未明,かたい大きな手,3866,1,0
小川未明,こまどりと酒,5418,0.978,2
小川未明,たましいは生きている,4255,0.996,1
小川未明,ちょうと三つの石,4370,0.989,1
小川未明,てかてか頭の話,2177,1,0
小川未明,とうげの茶屋,6006,0.976,3
小川未明,どこかに生きながら,4453,0.977,1
小川未明,なくなった人形,3101,1,0
小川未明,なつかしまれた人,5213,0.986,3
小川未明,はてしなき世界,4642,1,0
小川未明,びんの中の世界,4099,1,0
小川未明,ものぐさじじいの来世,1746,0.971,1
小川未明,三つのかぎ,4977,0.994,1
小川未明,不思議な鳥,7752,0.974,6
小川未明,世の中のために,4170,0.993,1
小川未明,僧,10139,1,0
小川未明,兄弟のやまばと,3966,0.992,1
小川未明,凍える女,9904,1,0
小川未明,北の冬,5153,0.989,2
小川未明,千代紙の春,4960,0.994,2
小川未明,夜の喜び,1753,1,0
小川未明,大きなかに,5869,0.991,1
小川未明,天下一品,6882,0.969,3
小川未明,小さな草と太陽,2399,1,0
小川未明,島の暮れ方の話,2091,1,0
小川未明,嵐の夜,2966,1,0
小川未明,幾年もたった後,3502,0.977,3
小川未明,悪魔,7524,1,0
小川未明,扉,8031,0.994,2
小川未明,托児所のある村,2994,1,0
小川未明,抜髪,1829,1,0
小川未明,捕われ人,4294,0.987,1
小川未明,日没の幻影,6425,0.986,2
小川未明,時計のない村,3699,1,0
小川未明,暗い空,5085,1,0
小川未明,月とあざらし,3790,0.996,1
小川未明,月夜とめがね,3745,0.986,2
小川未明,村の兄弟,2774,0.91,9
小川未明,森の妖姫,2454,1,0
小川未明,森の暗き夜,8654,0.996,1
小川未明,櫛,1332,1,0
小川未明,殿さまの茶わん,3779,1,0
小川未明,気まぐれの人形師,4940,0.965,2
小川未明,港に着いた黒んぼ,6865,0.983,3
小川未明,点,8012,0.929,13
小川未明,牛女,4876,0.987,2
小川未明,白い門のある家,3761,1,0
小川未明,百合の花,4148,0.979,3
小川未明,百姓の夢,7273,0.948,8
小川未明,眠い町,3499,1,0
小川未明,砂漠の町とサフラン酒,3754,0.993,1
小川未明,稚子ヶ淵,4072,1,0
小川未明,老婆,5413,1,0
小川未明,薔薇と巫女,7112,0.988,2
小川未明,蝋人形,4860,0.996,1
小川未明,負傷した線路と月,4054,1,0
小川未明,貸間を探がしたとき,2747,1,0
小川未明,赤い蝋燭と人魚,6514,1,0
小川未明,越後の冬,7225,1,0
小川未明,迷い路,4149,1,0
小川未明,過ぎた春の記憶,5482,1,0
小川未明,遠くで鳴る雷,2541,1,0
小川未明,酒屋のワン公,2996,0.989,1
小川未明,酔っぱらい星,4100,0.95,3
小川未明,野ばら,2305,1,0
小川未明,金の輪,1670,1,0
小川未明,金魚売り,3186,0.96,3
小川未明,電信柱と妙な男,2063,1,0
小川未明,青いボタン,4586,0.981,2
小川未明,飴チョコの天使,4571,0.967,3
小川未明,駄馬と百姓,2209,0.978,1
小川未明,黄色い晩,6150,1,0
小川未明,黒い人と赤いそり,4104,0.945,4
小川未明,黒い旗物語,4560,0.989,2
小林多喜二,蟹工船,61198,0.911,149
小栗虫太郎,夢殿殺人事件,27403,0.928,33
小酒井不木,塵埃は語る,11279,0.993,2
小酒井不木,墓地の殺人,23964,0.956,17
小酒井不木,小酒井不木集はしがき,237,1,0
小酒井不木,少年科学探偵序,617,1,0
小酒井不木,愚人の毒,15513,0.96,8
小酒井不木,暗夜の格闘,10886,0.99,3
小酒井不木,深夜の電話,19529,0.983,6
小酒井不木,玉振時計の秘密,7740,0.94,5
小酒井不木,現場の写真,7730,0.986,2
小酒井不木,白痴の知恵,11494,0.995,1
小酒井不木,科学的研究と探偵小説,6249,0.976,4
小酒井不木,紅色ダイヤ,11249,0.959,11
小酒井不木,紫外線,10928,0.979,3
小酒井不木,自殺か他殺か,7319,1,0
小酒井不木,頭蓋骨の秘密,10669,0.931,10
小酒井不木,髭の謎,11410,0.966,6
小金井喜美子,鴎外の思い出,126889,0.967,108
尾崎士郎,三等郵便局,19412,0.969,10
尾崎士郎,滝について,780,0.988,2
尾崎士郎,秋風と母,5559,1,0
尾崎士郎,鶺鴒の巣,4224,1,0
山之口貘,おきなわやまとぐち,1534,1,0
山之口貘,つまり詩は亡びる,2137,0.983,1
山之口貘,ダルマ船日記,7830,0.98,6
山之口貘,チャンプルー,2819,0.988,2
山之口貘,夏向きの一夜,1954,0.99,1
山之口貘,暴風への郷愁,1721,0.962,1
山之口貘,梯梧の花,2379,1,0
山之口貘,池袋の店,1593,1,0
山之口貘,沖縄帰郷始末記,1913,1,0
山之口貘,私の青年時代,7593,0.916,11
山之口貘,装幀の悩み,1570,1,0
山之口貘,詩とはなにか,5342,0.974,2
山之口貘,野宿,7854,1,0
山川方夫,あるドライブ,6229,0.989,5
山川方夫,お守り,6527,0.935,10
山川方夫,その一年,38267,0.991,15
山川方夫,ジャンの新盆,6037,0.961,5
山川方夫,トンボの死,1786,1,0
山川方夫,ロンリーマン,2066,1,0
山川方夫,十三年,2173,1,0
山川方夫,夏の葬列,4744,1,0
山川方夫,待っている女,6063,0.976,4
山川方夫,愛のごとく,31354,0.983,8
山川方夫,暑くない夏,1680,1,0
山川方夫,演技の果て,33779,0.979,19
山川方夫,箱の中のあなた,3337,1,0
山川方夫,菊,4552,1,0
山川方夫,非情な男,2592,1,0
山本周五郎,あだこ,22622,1,0
山本周五郎,いさましい話,36460,0.972,22
山本周五郎,おばな沢,22272,1,0
山本周五郎,おもかげ抄,10786,0.945,10
山本周五郎,おれの女房,23130,0.997,2
山本周五郎,お繁,6788,0.97,3
山本周五郎,さぶ,209607,0.994,13
山本周五郎,その木戸を通って,22318,0.991,2
山本周五郎,ちいさこべ,33291,0.977,9
山本周五郎,ちくしょう谷,69432,0.986,17
山本周五郎,ちゃん,22243,0.991,5
山本周五郎,つばくろ,21803,0.96,12
山本周五郎,はたし状,19280,0.952,15
山本周五郎,ひとごろし,22514,0.989,2
山本周五郎,ひとでなし,17961,1,0
山本周五郎,へちまの木,29010,0.989,6
山本周五郎,めおと蝶,23784,0.963,11
山本周五郎,やぶからし,22322,0.996,3
山本周五郎,ゆうれい貸屋,21217,0.956,14
山本周五郎,七日七夜,17623,0.982,8
山本周五郎,五瓣の椿,148832,0.979,44
山本周五郎,其角と山賊と殿様,4868,0.991,1
山本周五郎,初蕾,17423,0.993,3
山本周五郎,半之助祝言,21805,0.938,41
山本周五郎,嘘アつかねえ,12473,0.956,4
山本周五郎,城を守る者,9226,0.984,4
山本周五郎,夕靄の中,9399,1,0
山本周五郎,夜明けの辻,42383,0.988,12
山本周五郎,失蝶記,21949,0.963,15
山本周五郎,契りきぬ,32512,0.997,1
山本周五郎,季節のない街,200298,0.967,82
山本周五郎,屏風はたたまれた,11879,1,0
山本周五郎,山彦乙女,124931,0.961,68
山本周五郎,思い違い物語,44628,0.964,20
山本周五郎,新潮記,154503,0.949,81
山本周五郎,日本婦道記_おもかげ,12340,0.98,4
山本周五郎,日本婦道記_不断草,10710,0.995,1
山本周五郎,日本婦道記_二十三年,11144,0.979,4
山本周五郎,日本婦道記_墨丸,15009,1,0
山本周五郎,日本婦道記_小指,10978,0.954,7
山本周五郎,日本婦道記_尾花川,8638,1,0
山本周五郎,日本婦道記_忍緒,9594,0.966,7
山本周五郎,日本婦道記_春三たび,12785,0.981,3
山本周五郎,日本婦道記_松の花,10693,0.98,3
山本周五郎,日本婦道記_桃の井戸,12599,1,0
山本周五郎,日本婦道記_梅咲きぬ,8237,0.995,1
山本周五郎,日本婦道記_笄堀,11365,0.971,4
山本周五郎,日本婦道記_箭竹,11455,1,0
山本周五郎,日本婦道記_糸車,12126,1,0
山本周五郎,日本婦道記_萱笠,13844,0.973,5
山本周五郎,日本婦道記_藪の蔭,12786,1,0
山本周五郎,日本婦道記_風鈴,13590,1,0
山本周五郎,末っ子,27437,0.982,3
山本周五郎,松林蝙也,11938,0.991,3
山本周五郎,柳橋物語,103946,0.996,4
山本周五郎,桑の木物語,39547,0.994,5
山本周五郎,樅ノ木は残った_01第一部,147167,0.962,105
山本周五郎,樅ノ木は残った_02第二部,110979,0.959,69
山本周五郎,樅ノ木は残った_03第三部,166038,0.956,107
山本周五郎,樅ノ木は残った_04第四部,144012,0.956,92
山本周五郎,橋の下,12084,0.992,1
山本周五郎,泥棒と若殿,20460,0.925,25
山本周五郎,留さんとその女,6727,0.944,5
山本周五郎,竹柏記,45340,0.987,9
山本周五郎,花も刀も,88273,0.965,56
山本周五郎,若き日の摂津守,23256,0.95,31
山本周五郎,菊千代抄,35909,0.994,6
山本周五郎,菊屋敷,36394,0.981,4
山本周五郎,落葉の隣り,28689,0.99,4
山本周五郎,薊,15716,0.978,5
山本周五郎,藪落し,7029,0.924,4
山本周五郎,赤ひげ診療譚_01狂女の話,20249,0.985,7
山本周五郎,赤ひげ診療譚_02駈込み訴え,21741,0.993,4
山本周五郎,赤ひげ診療譚_03むじな長屋,26211,0.959,16
山本周五郎,赤ひげ診療譚_04三度目の正直,21133,0.991,4
山本周五郎,赤ひげ診療譚_05徒労に賭ける,18031,0.938,8
山本周五郎,赤ひげ診療譚_06鶯ばか,22517,0.989,3
山本周五郎,赤ひげ診療譚_07おくめ殺し,23450,0.985,9
山本周五郎,赤ひげ診療譚_08氷の下の芽,20038,0.992,3
山本周五郎,追いついた夢,20265,0.987,3
山本周五郎,長屋天一坊,29301,0.909,33
山本周五郎,陽気な客,22976,0.932,25
山本周五郎,雨あがる,21612,1,0
山本周五郎,雪の上の霜,25422,0.991,7
山本周五郎,青べか物語,159965,0.981,52
山本周五郎,風流太平記,240839,0.983,86
山本周五郎,麦藁帽子,6832,0.9,8
岡本かの子,ある日の蓮月尼,11881,0.962,15
岡本かの子,おせっかい夫人,767,1,0
岡本かの子,かの女の朝,12831,0.949,17
岡本かの子,とと屋禅譚,5773,0.956,4
岡本かの子,みちのく,6068,0.982,2
岡本かの子,オペラの辻,3808,0.921,9
岡本かの子,ガルスワーシーの家,9082,0.966,5
岡本かの子,ドーヴィル物語,21546,0.987,9
岡本かの子,五月の朝の花,699,1,0
岡本かの子,仏教人生読本,124251,0.98,42
岡本かの子,伯林の落葉,2439,1,0
岡本かの子,兄妹,1994,1,0
岡本かの子,勝ずば,6934,1,0
岡本かの子,取返し物語,13790,0.971,13
岡本かの子,呼ばれし乙女,5119,1,0
岡本かの子,唇草,6934,0.982,3
岡本かの子,噴水物語,2593,0.956,2
岡本かの子,売春婦リゼット,3440,0.939,6
岡本かの子,娘,7783,1,0
岡本かの子,宝永噴火,31417,0.979,12
岡本かの子,家霊,9334,0.987,2
岡本かの子,巴里のむす子へ,2199,1,0
岡本かの子,快走,5228,1,0
岡本かの子,愚かな男の話,1351,1,0
岡本かの子,愛,1681,1,0
岡本かの子,愛よ愛,1229,0.98,1
岡本かの子,或る秋の紫式部,5008,1,0
岡本かの子,扉の彼方へ,8105,0.952,5
岡本かの子,晩春,1710,1,0
岡本かの子,東海道五十三次,13749,0.982,4
岡本かの子,母と娘,9829,0.957,6
岡本かの子,気の毒な奥様,766,1,0
岡本かの子,汗,1446,1,0
岡本かの子,決闘場,11224,0.983,9
岡本かの子,渾沌未分,16154,0.953,15
岡本かの子,狐,5998,0.999,1
岡本かの子,百喩経,10270,0.967,20
岡本かの子,真夏の幻覚,955,1,0
岡本かの子,窓,3700,0.984,2
岡本かの子,老妓抄,15488,1,0
岡本かの子,茶屋知らず物語,3316,1,0
岡本かの子,荘子,12285,0.972,6
岡本かの子,蝙蝠,11024,0.999,1
岡本かの子,褐色の求道,7025,0.935,10
岡本かの子,豆腐買い,14238,0.974,8
岡本かの子,越年,9936,1,0
岡本かの子,酋長,1406,1,0
岡本かの子,金魚撩乱,33831,0.963,19
岡本かの子,阿難と呪術師の娘,27890,0.967,23
岡本かの子,雪の日,1466,1,0
岡本かの子,食魔,36593,0.951,31
岡本かの子,高原の太陽,8511,0.94,12
岡本かの子,鮨,13157,0.972,6
岡本かの子,鯉魚,5752,0.97,3
岡本かの子,鶴は病みき,26448,0.92,39
岡本綺堂,くろん坊,16335,0.949,16
岡本綺堂,五色蟹,11517,0.902,21
岡本綺堂,修禅寺物語,12723,0.931,18
岡本綺堂,停車場の少女,6196,0.99,2
岡本綺堂,兜,11475,0.974,4
岡本綺堂,半七捕物帳_01お文の魂,16078,0.953,16
岡本綺堂,半七捕物帳_02石灯籠,15947,0.948,18
岡本綺堂,半七捕物帳_03勘平の死,15897,0.968,9
岡本綺堂,半七捕物帳_04湯屋の二階,15364,0.968,9
岡本綺堂,半七捕物帳_05お化け師匠,16266,0.966,11
岡本綺堂,半七捕物帳_06半鐘の怪,15737,0.953,11
岡本綺堂,半七捕物帳_07奥女中,16171,0.934,16
岡本綺堂,半七捕物帳_08帯取りの池,15380,0.945,11
岡本綺堂,半七捕物帳_09春の雪解,15156,0.946,11
岡本綺堂,半七捕物帳_10広重と河獺,18133,0.958,14
岡本綺堂,半七捕物帳_11朝顔屋敷,15180,0.942,17
岡本綺堂,半七捕物帳_12猫騒動,15817,0.931,18
岡本綺堂,半七捕物帳_13弁天娘,18798,0.961,12
岡本綺堂,半七捕物帳_14山祝いの夜,10519,0.956,8
岡本綺堂,半七捕物帳_15鷹のゆくえ,19097,0.985,6
岡本綺堂,半七捕物帳_16津の国屋,33255,0.993,7
岡本綺堂,半七捕物帳_17三河万歳,16112,0.98,4
岡本綺堂,半七捕物帳_18槍突き,15385,0.968,6
岡本綺堂,半七捕物帳_19お照の父,15477,0.975,10
岡本綺堂,半七捕物帳_20向島の寮,12174,0.988,2
岡本綺堂,半七捕物帳_21蝶合戦,15136,0.97,9
岡本綺堂,半七捕物帳_22筆屋の娘,15071,0.983,7
岡本綺堂,半七捕物帳_23鬼娘,15072,0.962,10
岡本綺堂,半七捕物帳_24小女郎狐,16635,0.972,7
岡本綺堂,半七捕物帳_25狐と僧,8702,0.978,4
岡本綺堂,半七捕物帳_26女行者,16137,0.968,11
岡本綺堂,半七捕物帳_27化け銀杏,16573,0.996,3
岡本綺堂,半七捕物帳_28雪達磨,10637,1,0
岡本綺堂,半七捕物帳_29熊の死骸,15549,0.984,4
岡本綺堂,半七捕物帳_30あま酒売,16734,0.982,4
岡本綺堂,半七捕物帳_31張子の虎,15608,0.986,6
岡本綺堂,半七捕物帳_32海坊主,17409,0.983,6
岡本綺堂,半七捕物帳_33旅絵師,17085,0.99,2
岡本綺堂,半七捕物帳_34雷獣と蛇,13878,0.991,2
岡本綺堂,半七捕物帳_35半七先生,16316,0.994,3
岡本綺堂,半七捕物帳_36冬の金魚,17662,0.987,6
岡本綺堂,半七捕物帳_37松茸,17429,0.981,8
岡本綺堂,半七捕物帳_38人形使い,15387,0.967,10
岡本綺堂,半七捕物帳_39少年少女の死,10963,0.972,6
岡本綺堂,半七捕物帳_40異人の首,15850,0.982,5
岡本綺堂,半七捕物帳_41一つ目小僧,7752,0.972,3
岡本綺堂,半七捕物帳_42仮面,7536,1,0
岡本綺堂,半七捕物帳_43柳原堤の女,29755,0.982,10
岡本綺堂,半七捕物帳_44むらさき鯉,16714,0.994,3
岡本綺堂,半七捕物帳_45三つの声,12623,0.989,3
岡本綺堂,半七捕物帳_46十五夜御用心,20581,0.98,12
岡本綺堂,半七捕物帳_47金の蝋燭,21083,0.974,9
岡本綺堂,半七捕物帳_48ズウフラ怪談,16895,0.976,9
岡本綺堂,半七捕物帳_49大阪屋花鳥,26006,0.971,19
岡本綺堂,半七捕物帳_50正雪の絵馬,25979,0.984,8
岡本綺堂,半七捕物帳_51大森の鶏,18279,0.981,7
岡本綺堂,半七捕物帳_52妖狐伝,20857,0.981,10
岡本綺堂,半七捕物帳_53新カチカチ山,23014,0.984,8
岡本綺堂,半七捕物帳_54唐人飴,23270,0.986,7
岡本綺堂,半七捕物帳_55かむろ蛇,23367,0.993,6
岡本綺堂,半七捕物帳_56河豚太鼓,22082,0.979,10
岡本綺堂,半七捕物帳_57幽霊の観世物,18523,0.981,8
岡本綺堂,半七捕物帳_58菊人形の昔,18385,0.979,7
岡本綺堂,半七捕物帳_59蟹のお角,20868,0.978,11
岡本綺堂,半七捕物帳_60青山の仇討,21735,0.97,14
岡本綺堂,半七捕物帳_61吉良の脇指,22502,0.987,7
